title,category,price,image,quick_desc,long_desc,additional_info
"World Cup Fever Sale Phantom 4 PRO + Refurbished With Built in Screen, Save R13, 500, Only one unit Left, Be Quick.",Phantom 4 Drones,R 23995,"https://www.droneworld.co.za/wp-content/uploads/2016/11/P4P-600x525.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4P-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/p4-back-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/p4-front-light-600x500.jpg","Please note that this Phantom 4 Pro at this amazing price is a refurbished product and has undergone a professional refurbishing process that brings it up to the same high standards as brand new DJI products, and all refurbished products come with new parts, new packaging and DJI’s standard Manufacturer Warranty. Why do DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone,and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous refurbishment process to make sure it’s up to DJI’s high standards. It is backed with DJI’s one-year warranty – exactly the same as a brand new drone. Please click the button below if you would like to view photos of the pristine condition of the Refurbished drones from DJI View Close-Up Pics The upgraded camera is equipped with a 1-inch 20-megapixel sensor capable of shooting 4K/60fps video and Burst Mode stills at 14 fps.The adoption of titanium alloy and magnesium alloy construction increases the rigidity of the airframe and reduces weight, making the Phantom 4 Pro similar in weight to the Phantom 4. The FlightAutonomy system adds dual rear vision sensors and infrared sensing systems for a total of 5-direction of obstacle sensing and 4-direction of obstacle avoidance. Click here for more info on our drone crash protection.","Product Description Direct From DJI, with Full 12 Month SA Support & Warranty [distinguish this from new and we will swap it for a new drone] The Droneworld RRP is set by DJI for each country (bearing in mind import duties VAT and warranty servicing) Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5 kilometres. The FCC compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment. Smart device not included","Additional Information Special Feature 4K Video, Active Track, Collision Avoidance, Photography, Videography Combo or Accessory Drones Drone Name Phantom 4 Pro Camera Type 4K Flight Time 28min Max Speed 20m/s Number of Batteries 1 Range 3km Status New"
World Cup Fever Sale Phantom 4 Explorer Pack Now Refurbished- Fly and Save Bundle,Phantom 4 Drones,R 16995,"https://www.droneworld.co.za/wp-content/uploads/2018/04/P4-Explorer-Pack-Combo-1-600x600.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/dji-phantom-4-pro-battery-high-capacity-p4203-6769_image-600x600.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/car-charger-for-dji-phantom-4-drone-battery-controller-transmitter-b652f9fcef60e1d2ec0122bda558fee7.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/remote-dampers.jpeg, https://www.droneworld.co.za/wp-content/uploads/2017/08/p4-prop-guards-600x382.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/07/Universal-Reversible-Landing-Pad-Helipad-For-DJI-Phantom-600x372.png, https://www.droneworld.co.za/wp-content/uploads/2017/07/Lanyard-600x250.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/07/x5-filter-2-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/07/alu-open-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/09/dampers-2-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/01/sss-45-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/01/SSL-45-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/06/SSL-45-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/07/Alu-1-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/06/Universal-Micro-USB-SD-Card-Reader-Micro-USB-OTG-adapter-for-Android-Mobile-Phone-USB-Flash-600x414.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/07/P4-Landing-skid-extender.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/11/Ant-booster-500.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/04/MG_4913-4x3-600x450.jpg","Please note that this DJI Phantom 4 at this amazing price is a refurbished product that has been professionally refurbished by DJI to be mechanically perfect and in exceptional condition. All refurbished products come with new packaging and DJI’s standard Manufacturer Warranty. Why does DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone, and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous testing process to make sure it’s up to DJI’s high standards. It is backed by DJI’s one-year warranty – exactly the same as a brand new drone. This kit contains: 1 x Phantom 4 factory Refurbished Unit 1 x Additional Flight Battery 1 x Protective Aluminium Case 1 x ND2-400 Filter 1 x Multi Charging Hub 1 x Petal Hood Cover 1 x Landing Gear Extenders 1 x Landing Pad 1 x Range Extenders 1 x Short iOS Cable 1 x Universal USB Card Reader 1 x Car Charger 1 x Lanyard 1 x set of 4 Quick Detachable Propeller Guards 3 x Sunshields for all device types 1 x Thumb Toggle Controller 1 x Remote Control Dampers Click here for more info on our drone crash protection.","Product Description Direct From DJI, Refurb with Full 12 Month SA Support & Warranty Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5km. The FCC-compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment. Smart Device not included",
World Cup Fever Sale Phantom 4 PRO Refurb With Extra Battery,Phantom 4 Drones,R 22995,"https://www.droneworld.co.za/wp-content/uploads/2017/12/P4s-2-batt-600x601.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4P-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/p4-front-light-600x500.jpg","Please note that this Phantom 4 Pro at this amazing price is a refurbished product and has undergone a professional refurbishing process that brings it up to the same high standards as brand new DJI products, and all refurbished products come with new parts, new packaging and DJI’s standard Manufacturer Warranty. Why do DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone,and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous refurbishment process to make sure it’s up to DJI’s high standards. It is backed with DJI’s one-year warranty – exactly the same as a brand new drone. Please click the button below if you would like to view photos of the pristine condition of the Refurbished drones from DJI View Close-Up Pics The upgraded camera is equipped with a 1-inch 20-megapixel sensor capable of shooting 4K/60fps video and Burst Mode stills at 14 fps.The adoption of titanium alloy and magnesium alloy construction increases the rigidity of the airframe and reduces weight, making the Phantom 4 Pro similar in weight to the Phantom 4. The FlightAutonomy system adds dual rear vision sensors and infrared sensing systems for a total of 5-direction of obstacle sensing and 4-direction of obstacle avoidance. Click here for more info on our drone crash protection.","Product Description Direct From DJI, with Full 12 Month SA Support & Warranty [distinguish this from new and we will swap it for a new drone] The Droneworld RRP is set by DJI for each country (bearing in mind import duties VAT and warranty servicing) Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5 kilometres. The FCC compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment. Smart device not included","Additional Information Special Feature 4K Video, Active Track, Collision Avoidance, Photography, Videography Combo or Accessory Drones Drone Name Phantom 4 Pro Camera Type 4K Flight Time 28min Max Speed 20m/s Number of Batteries 1 Range 3km Status New"
World Cup Fever Sale Phantom 4 PRO Refurb With Durango Extreme Long Range Antenna System And Extra Battery,Phantom 4 Drones,R 26995,"https://www.droneworld.co.za/wp-content/uploads/2017/12/P4s-2-batt-600x601.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4P-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/03/New-durango-p4p-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/p4-back-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/p4-front-light-600x500.jpg","Please note that this Phantom 4 Pro at this amazing price is a refurbished product and has undergone a professional refurbishing process that brings it up to the same high standards as brand new DJI products, and all refurbished products come with new parts, new packaging and DJI’s standard Manufacturer Warranty. Why do DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone,and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous refurbishment process to make sure it’s up to DJI’s high standards. It is backed with DJI’s one-year warranty – exactly the same as a brand new drone. Please click the button below if you would like to view photos of the pristine condition of the Refurbished drones from DJI The upgraded camera is equipped with a 1-inch 20-megapixel sensor capable of shooting 4K/60fps video and Burst Mode stills at 14 fps.The adoption of titanium alloy and magnesium alloy construction increases the rigidity of the airframe and reduces weight, making the Phantom 4 Pro similar in weight to the Phantom 4. The FlightAutonomy system adds dual rear vision sensors and infrared sensing systems for a total of 5-direction of obstacle sensing and 4-direction of obstacle avoidance. Click here for more info on our drone crash protection.","Product Description Direct From DJI, with Full 12 Month SA Support & Warranty [distinguish this from new and we will swap it for a new drone] The Droneworld RRP is set by DJI for each country (bearing in mind import duties VAT and warranty servicing) Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5 kilometres. The FCC compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment.","Additional Information Special Feature 4K Video, Active Track, Collision Avoidance, Photography, Videography Combo or Accessory Drones Drone Name Phantom 4 Pro Camera Type 4K Flight Time 28min Max Speed 20m/s Number of Batteries 1 Range 3km Status New"
"Phantom 4 Pro,Add An Apple Ipad For Just R2995 Extra",Phantom 4 Drones,R 30999,"https://www.droneworld.co.za/wp-content/uploads/2017/12/P4P-New-Tile.png, https://www.droneworld.co.za/wp-content/uploads/2018/02/P4P-Crash-Protection-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/p4-back-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/P4-batt-light-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/03/p4-front-light-600x500.jpg","Also, we have a couple of brand new open box never flown at a massive discount enquire in the chat box or call PTA: 012 140 0012 or CPT: 021 140 0878 and quote “Open Box” Please Click Here To Find Out More About Our Drone Insurance The upgraded camera is equipped with a 1-inch 20-megapixel sensor capable of shooting 4K/60fps video and Burst Mode stills at 14 fps.The adoption of titanium alloy and magnesium alloy construction increases the rigidity of the airframe and reduces weight, making the Phantom 4 Pro similar in weight to the Phantom 4. The FlightAutonomy system adds dual rear vision sensors and infrared sensing systems for a total of 5-direction of obstacle sensing and 4-direction of obstacle avoidance. Click here for more info on our drone crash protection.",Product Description The Droneworld RRP is set by DJI for each country (bearing in mind import duties VAT and warranty servicing) Smart device not included,"Additional Information Special Feature 4K Video, Active Track, Collision Avoidance, Photography, Videography Combo or Accessory Drones Drone Name Phantom 4 Pro Camera Type 4K Flight Time 28min Max Speed 20m/s Number of Batteries 1 Range 3km Status New"
Phantom 4 Pro v2,Phantom 4 Drones,,"https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792336000_IMG_983104.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/02/P4P-Crash-Protection-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792336000_IMG_983102.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792336000_IMG_983103.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792336000_IMG_983105.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792336000_IMG_983106.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792336000_IMG_983107.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792336000_IMG_983108.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792513000_IMG_983706.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/1525792922000_1406921.jpg","1-inch 20MP Exmor R CMOS sensor, longer flight time and smarter features. 30 Mins Flight Time 7 km Control Range 4 dB Noise Reduction 4K 60fps 30 m Sensor Range 5-Direction of Obstacle Sensing Click here for more info on our drone crash protection.",Product Description What’s in the Box,
Phantom 4 Refurb with Durango Xtreme Long Range Antenna System,Phantom 4 Drones,R 16995,"https://www.droneworld.co.za/wp-content/uploads/2017/08/P4-with-Durango.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4-Crash-Protection-OPTION-final.jpg","Please allow 3 extra working days delivery due to Durango installation. Please note that this DJI Phantom 4 at this amazing price is a refurbished product that has been professionally refurbished by DJI to be mechanically perfect and in exceptional condition. All refurbished products come with new packaging and DJI’s standard Manufacturer Warranty. Why does DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone, and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous testing process to make sure it’s up to DJI’s high standards. It is backed by DJI’s one-year warranty – exactly the same as a brand new drone. The upgraded camera is equipped with a 1-inch 20-megapixel sensor capable of shooting 4K/60fps video and Burst Mode stills at 14 fps.The adoption of titanium alloy and magnesium alloy construction increases the rigidity of the airframe and reduces weight, making the Phantom 4 similar in weight to the Phantom 3. The FlightAutonomy system adds dual rear vision sensors and infrared sensing systems for a total of 5-direction of obstacle sensing and 4-direction of obstacle avoidance. Click here for more info on our drone crash protection.",,
World Cup Fever Sale Phantom 4 Refurb,Phantom 4 Drones,R 12995,"https://www.droneworld.co.za/wp-content/uploads/2016/01/P4-with-batt-600x500.png, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4-Crash-Protection-OPTION-final.jpg","“7 Day Flash Sale”  will end 9 pm this Sunday. We have managed to land a few of these exceptionally priced Phantom 4' direct from DJI. Don’t Let These Get Away. Limited Supply. Limit 2 per customer. Next day delivery 365 days full SA warranty 1-year local support. Please note that this DJI Phantom 4 at this amazing price is a refurbished product that has been professionally refurbished by DJI to be mechanically perfect and in exceptional condition. All refurbished products come with new packaging and DJI’s standard Manufacturer Warranty. Why does DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone, and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous testing process to make sure it’s up to DJI’s high standards. It is backed by DJI’s one-year warranty – exactly the same as a brand new drone. Click here for more info on our drone crash protection.","Product Description Direct From DJI, Refurb with Full 12 Month SA Support & Warranty The  items below come standard with Phantom 4: Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5km. The FCC-compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment. Smart Device not included",
World Cup Fever Sale Phantom 4 Pro+ [+ means built in screen]   Explorer Pack Now Refurbished- Fly and Save Bundle,Phantom 4 Drones,R 27995,"https://www.droneworld.co.za/wp-content/uploads/2018/05/P4P-Explorer-Pack-Combo-1-600x600.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4P-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/05/download-16.jpeg, https://www.droneworld.co.za/wp-content/uploads/2017/08/car-charger-for-dji-phantom-4-drone-battery-controller-transmitter-b652f9fcef60e1d2ec0122bda558fee7.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/dji-phantom-4-pro-battery-high-capacity-p4203-6769_image-600x600.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/remote-dampers.jpeg, https://www.droneworld.co.za/wp-content/uploads/2017/08/p4-prop-guards-600x382.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/07/Universal-Reversible-Landing-Pad-Helipad-For-DJI-Phantom-600x372.png, https://www.droneworld.co.za/wp-content/uploads/2017/07/Lanyard-600x250.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/07/x5-filter-2-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/07/alu-open-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/07/Alu-1-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/06/Universal-Micro-USB-SD-Card-Reader-Micro-USB-OTG-adapter-for-Android-Mobile-Phone-USB-Flash-600x414.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/07/P4-Landing-skid-extender.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/11/Ant-booster-500.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/04/MG_4913-4x3-600x450.jpg","Please note that this DJI Phantom 4 at this amazing price is a refurbished product that has been professionally refurbished by DJI to be mechanically perfect and in exceptional condition. All refurbished products come with new packaging and DJI’s standard Manufacturer Warranty. Why does DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone, and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous testing process to make sure it’s up to DJI’s high standards. It is backed by DJI’s one-year warranty – exactly the same as a brand new drone. This kit contains: 1 x Phantom 4 Pro+ factory Refurbished Unit 1 x Additional Flight Battery 1 x Protective Aluminium Case 1 x ND2-400 Filter 1 x Multi Charging Hub 1 x Petal Hood Cover 1 x Landing Gear Extenders 1 x Landing Pad 1 x Range Extenders 1 x Short iOS Cable 1 x Universal USB Card Reader 1 x Car Charger 1 x Lanyard 1 x set of 4 Quick Detachable Propeller Guards 3 x Sunshields for all device types 1 x Thumb Toggle Controller 1 x Remote Control Dampers Click here for more info on our drone crash protection.","Product Description Direct From DJI, with Full 12 Month SA Support & Warranty [distinguish this from new and we will swap it for a new drone] Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5 kilometres. The FCC compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment. Smart device not included",
Brand New Phantom 4 Advanced Delivery Factory Refurbished,Phantom 4 Drones,R 16995,"https://www.droneworld.co.za/wp-content/uploads/2018/04/medium_8e4406e9-6b59-4344-8a27-448e36ee0135-1-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/medium_9caf1002-949c-4683-a4e3-1a821b9c62e1-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/medium_fee3ec37-e492-4e69-8091-f29448b91940-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/medium_58154309-3652-4b42-a747-5c5e3de04640-600x400.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/medium_045c6fe0-bb32-40e7-8866-fddaf75c1230-600x400.jpg","An uprated camera is equipped with a 1-inch 20-megapixel sensor capable of shooting 4K/60 fps video and Burst Mode stills at 14 fps. The Flight Autonomy system includes five vision sensors for 2-directional obstacle sensing and forward-vision obstacle avoidance. The adoption of titanium alloy and magnesium alloy increases the rigidity of the airframe and reduces weight, making the Phantom 4 Advanced even lighter than the Phantom 4. Please note that this Phantom 4 Advanced at this amazing price is a refurbished product and has undergone a professional refurbishing process that brings it up to the same high standards as brand new DJI products, and all refurbished products come with new parts, new packaging and DJI’s standard Manufacturer Warranty. Why do DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone,and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous refurbishment process to make sure it’s up to DJI’s high standards. It is backed with DJI’s one-year warranty – exactly the same as a brand new drone. Click here for more info on our drone crash protection.",Product Description,"Additional Information Special Feature 4K Video, Active Track, Collision Avoidance, Photography, Videography Combo or Accessory Drones Drone Name Phantom 4 Pro Camera Type 4K Flight Time 28min Max Speed 20m/s Number of Batteries 1 Range 3km Status New"
World Cup Fever Sale Phantom 4 Pro Explorer Pack Now Refurbished- Fly and Save Bundle,Phantom 4 Drones,R 23995,"https://www.droneworld.co.za/wp-content/uploads/2018/05/P4P-Explorer-Pack-Combo-600x600.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4P-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/dji-phantom-4-pro-battery-high-capacity-p4203-6769_image-600x600.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/car-charger-for-dji-phantom-4-drone-battery-controller-transmitter-b652f9fcef60e1d2ec0122bda558fee7.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/08/remote-dampers.jpeg, https://www.droneworld.co.za/wp-content/uploads/2017/08/p4-prop-guards-600x382.jpg, https://www.droneworld.co.za/wp-content/uploads/2017/07/Universal-Reversible-Landing-Pad-Helipad-For-DJI-Phantom-600x372.png, https://www.droneworld.co.za/wp-content/uploads/2017/07/Lanyard-600x250.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/07/x5-filter-2-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/07/alu-open-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/09/dampers-2-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/01/sss-45-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/01/SSL-45-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/06/SSL-45-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/07/Alu-1-600x500.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/06/Universal-Micro-USB-SD-Card-Reader-Micro-USB-OTG-adapter-for-Android-Mobile-Phone-USB-Flash-600x414.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/07/P4-Landing-skid-extender.jpg, https://www.droneworld.co.za/wp-content/uploads/2015/11/Ant-booster-500.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/04/MG_4913-4x3-600x450.jpg","Please note that this DJI Phantom 4 at this amazing price is a refurbished product that has been professionally refurbished by DJI to be mechanically perfect and in exceptional condition. All refurbished products come with new packaging and DJI’s standard Manufacturer Warranty. Why does DJI have refurbished drones? Example: If a customer buys a new drone and it has any fault whatsoever from new it is sent back to the factory and replaced with a new drone, and the faulty component of the original drone is replaced by DJI, they then sell it as refurbished. Before a refurbished DJI drone leaves the factory, it undergoes a rigorous testing process to make sure it’s up to DJI’s high standards. It is backed by DJI’s one-year warranty – exactly the same as a brand new drone. This kit contains: 1 x Phantom 4 Pro factory Refurbished Unit 1 x Additional Flight Battery 1 x Protective Aluminium Case 1 x ND2-400 Filter 1 x Multi Charging Hub 1 x Petal Hood Cover 1 x Landing Gear Extenders 1 x Landing Pad 1 x Range Extenders 1 x Short iOS Cable 1 x Universal USB Card Reader 1 x Car Charger 1 x Lanyard 1 x set of 4 Quick Detachable Propeller Guards 3 x Sunshields for all device types 1 x Thumb Toggle Controller 1 x Remote Control Dampers Click here for more info on our drone crash protection.","Product Description Direct From DJI, with Full 12 Month SA Support & Warranty [distinguish this from new and we will swap it for a new drone] Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5 kilometres. The FCC compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment. Smart device not included",
"New Phantom 4 Pro+ [+ means built in screen]  Delivery With Latest Eachine Goggles, Full 12 Month Warranty,Factory refurb",Phantom 4 Drones,R 24995,"https://www.droneworld.co.za/wp-content/uploads/2018/02/IMG_1511-600x450.jpg, https://www.droneworld.co.za/wp-content/uploads/2018/06/P4P-Crash-Protection-OPTION-final.jpg, https://www.droneworld.co.za/wp-content/uploads/2016/11/Controller-600x400.jpg","What an opportunity, fly up to 10km [keep an eye on your battery] uses the latest most powerful antenna system on the market today. Even if you only want to fly up to 5km get unparalleled performance with crystal clear video transmission with the added comfort of HD Goggles see where you're going no light intrusion and your left and right stay that way no matter which way your flying. DJI INFO BElOW An uprated camera is equipped with a 1-inch 20-megapixel sensor capable of shooting 4K/60fps video and Burst Mode stills at 14 fps. The adoption of titanium alloy and magnesium alloy construction increases the rigidity of the airframe and reduces weight, making thePhantom 4 Pro similar in weight to the Phantom 4. The Flight Autonomy system adds dual rear vision sensors and infrared sensing systems for a total of 5-direction of obstacle sensing and 4-direction of obstacle avoidance. The Phantom 4 Pro + comes with a built LCD screen. Click here for more info on our drone crash protection.","Product Description Propeller guards are recommended when using these functions. Remote controller included. Unobstructed, free of interference, with remote controller when FCC compliant.Maximum flight distance in SA 3.5km. The FCC compliant range only applies in America while in most of the world the drones are forced to be CE (Central European) compliant, this means that when a drone automatically detects its location, it will adjust its transmitter power accordingly. Estimated flight time is based on flying in windless conditions at a constant speed of 12.4 mph (20 kph). Actual flight times may vary depending on your environment.","Additional Information Special Feature 4K Video, Active Track, Built-In Screen, Collision Avoidance, Photography, Videography Combo or Accessory Drones Drone Name Phantom 4 Pro Camera Type 4K Flight Time 28min Max Speed 20m/s Number of Batteries 1 Range 3km Status New"
Phantom 4 Skin Digital Urban Camo,Phantom 4 Accessories,R 495,https://www.droneworld.co.za/wp-content/uploads/2017/05/djip4-digiucamo-600x600.jpg,,"Product Description Pimp your Phantom 4 with these unique and funky skins Fits Phantom 4 and Phantom 4 Pro Kit includes drone skin, controller skin + 3 battery skins Easy, bubble-free installation and goo-free removal",
Phantom 4 Skin Sky Camo,Phantom 4 Accessories,R 495,https://www.droneworld.co.za/wp-content/uploads/2017/05/djip4-scamo-600x600.jpg,,"Product Description Pimp your Phantom 4 with these unique and funky skins Fits Phantom 4 and Phantom 4 Pro Kit includes drone skin, controller skin + 3 battery skins Easy, bubble-free installation and goo-free removal",
Phantom 4 Skin Urban Camo,Phantom 4 Accessories,R 495,https://www.droneworld.co.za/wp-content/uploads/2017/05/djip4-ucamo-600x600.jpg,,"Product Description Pimp your Phantom 4 with these unique and funky skins Fits Phantom 4 and Phantom 4 Pro Kit includes drone skin, controller skin + 3 battery skins Easy, bubble-free installation and goo-free removal",
ADATA 32 GB SD Card. Super High Speed Transfer Rate [Needed for DJI],Phantom 4 Accessories,R 695,https://www.droneworld.co.za/wp-content/uploads/2017/05/32GB-SD-ADATA.png,High speed 32GB micro SD card perfect for filming in 4K for extended periods of time.,,
